"study","title","latitude","longitude","methods","habitat","native_species","native_family","native_growth_cycle","invasive_species","invasive_family","invasive_growth_cycle","invasion_phase","MAT","MAP","fraction","source","index","units","depth","M_native","SD_native","N_native","M_invasive","SD_invasive","N_invasive","lnRR","depth_raw","depth_bot","depth_mid","habitat_class","growth_cycle","basis","sd_imputed","yi","vi","obs"
"R24","Loss of faster-cycling soil carbon pools following grass invasion across multiple forest sites","33.20-33.89","83.37-83.60","field","forest","Quercussp.","Fagaceae","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"POC","F1","POC","g C m-2","0-10",113.888888888888,15.7407,8,84.2592592592592,5.5556,8,"-0.30132581400000003","0-10",10,5,"forest","annual","concentration",FALSE,-0.302247031146517,0.00293120723383671,334
"R24","Loss of faster-cycling soil carbon pools following grass invasion across multiple forest sites","33.20-33.89","83.37-83.60","field","forest","CaryacathayensisSarg.","JuglandaceaeDC.exPerleb","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"POC","F1","POC","g C m-2","0-10",116.666666666666,12.963,8,82.4074074074074,5.5556,8,"-0.347642648","0-10",10,5,"forest","annual","concentration",FALSE,-0.348133086978328,0.00211133787180594,335
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"POC","T1","POXC","g/kg","0-20",10.05,0.59,3,1.41,0.09,3,"-1.96398293","0-20",20,10,"wetland_coastal",NA,"concentration",FALSE,-1.9638782980495,0.00250689702788546,336
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"POC","T1","POXC","g/kg","20-40",8.66,0.52,3,3.09,0.9,3,"-1.0305436320000001","20-40",40,30,"wetland_coastal",NA,"concentration",FALSE,-1.01700561717079,0.0294797255602232,337
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"POC","T1","POXC","g/kg","40-60",6.99,0.37,3,1.74,0.27,3,"-1.390595443","40-60",60,50,"wetland_coastal",NA,"concentration",FALSE,-1.38704934288494,0.00896011839956662,338
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"POC","T1","POXC","g/kg","60-80",5.5,0.33,3,4.35,1.74,3,"-0.23457224700000001","60-80",80,70,"wetland_coastal",NA,"concentration",FALSE,-0.208505580471166,0.0545333333333334,339
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"POC","T1","POXC","g/kg","80-100",4.46,0.35,3,3.12,0.93,3,"-0.35731576399999998","80-100",100,90,"wetland_coastal",NA,"concentration",FALSE,-0.343533851933912,0.0316694101606645,340
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"POC","F3","POXC","g/kg","0-15",14.8941176470588,1.48,3,6.91764705882352,0.42,3,"-0.76627407700000005","0-15",15,7.5,"wetland_coastal","perennial","concentration",FALSE,-0.767921953558146,0.00452008049850121,341
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"POC","F3","POXC","g/kg","15-30",7.05882352941176,1.69,3,1.27058823529411,0.28,3,"-1.715428151","15-30",30,22.5,"wetland_coastal","perennial","concentration",FALSE,-1.71625796811537,0.0352944801383175,342
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"POC","F3","POXC","g/kg","30-50",5.15294117647058,0.71,3,1.41176470588235,0.21,3,"-1.2954070099999999","30-50",50,40,"wetland_coastal","perennial","concentration",FALSE,-1.29420354270799,0.0137037918938478,343
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"POC","F3","POXC","g/kg","50-75",4.65882352941176,0.56,3,1.19999999999999,0.21,3,"-1.3566938909999999","50-75",75,62.5,"wetland_coastal","perennial","concentration",FALSE,-1.35374531891366,0.0150245085535491,344
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"POC","F3","POXC","g/kg","75-100",2.04705882352941,0.35,3,0.56470588235294,0.14,3,"-1.297658288","75-100",100,87.5,"wetland_coastal","perennial","concentration",FALSE,-1.28248269911471,0.0302319373568724,345
"R50","Grass invasion of a hardwood forest is associated with declines in belowground carbon pools","33.5327","83.2193","field","forest","Acerrubrum,Quercusnigra,Platanusoccidentalis,andLiquidambarstyraciflua","n/a","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"POC","T2","POC","mg g-1 dry wt soil-1","0-10",8.46,3.03736728105114,6,5.99,2.98837748619548,6,"-0.345257761","0-10",10,5,"forest","annual","concentration",FALSE,-0.335258150047273,0.0629659862400633,346
"R52","Characteristics of Particulate Organic Carbon and Nitrogen in Soil of Leucaena leucocephala Plantation in the Dry-hot Valley","25.31-26.07","101.36-102.07","field","rivervalley","TermiliafranchetiiGagnep.\PhyllanthusemblicaLinn.\Dodoeaviscosa(L.)Jacq)\(OsteomelesschwerieSchneid.)\(DiospyrosdumetorumW.W.Smith)","n/a","n/a","Leucaeleucocephala(Lam.)deWit","Fabaceae","n/a","invasive",NA,NA,"POC","T2","POC","g/kg","0-10",2.93,0.57,4,7.32,0.53,4,"0.915607905","0-10",10,5,"wetland_coastal",NA,"concentration",FALSE,0.911532514139993,0.0107719781207899,347
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"POC","F3","POC","g/kg","0-15",14.8550185873605,1.54,3,7.09293680297397,0.47,3,"-0.73998769900000005","0-15",15,7.5,"wetland_coastal","perennial","concentration",FALSE,-0.740297686773664,0.00504599721544229,348
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"POC","F3","POC","g/kg","15-30",7.29368029739776,1.41,3,1.27137546468401,0.2,3,"-1.747486646","15-30",30,22.5,"wetland_coastal","perennial","concentration",FALSE,-1.74901314439205,0.0207060944594661,349
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"POC","F3","POC","g/kg","30-50",5.15241635687732,0.8,3,1.33828996282527,0.13,3,"-1.346327101","30-50",50,40,"wetland_coastal","perennial","concentration",FALSE,-1.35051845891025,0.0111812637108129,350
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"POC","F3","POC","g/kg","50-75",4.61710037174721,0.74,3,1.20446096654274,0.27,3,"-1.3480731480000001","50-75",75,62.5,"wetland_coastal","perennial","concentration",FALSE,-1.33964091022441,0.0253127900095774,351
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"POC","F3","POC","g/kg","75-100",2.20817843866171,0.4,3,0.535315985130108,0.27,3,"-1.4091786550000001","75-100",100,87.5,"wetland_coastal","perennial","concentration",FALSE,-1.38013590163848,0.0957358574536647,352
"R9","Crop-weed competition changes the decomposition of soil organic matter fractions in the rhizosphere","-5.9945700000000004","-37.942100000000003","greenhouse","n/a","ZeamaysL.","Poaceae","annual","BidenspilosaL.","compositae","annual","invasive",NA,NA,"MAOC","F2","MAOC","mg C g soil-1","n/a",7.06395348837209,0.2326,5,5.93023255813953,0.1744,5,"-0.17442083799999999","n/a",NA,NA,NA,"annual","concentration",FALSE,-0.174963386343405,0.00038982064156596,353
"R9","Crop-weed competition changes the decomposition of soil organic matter fractions in the rhizosphere","-5.9945700000000004","-37.942100000000003","greenhouse","n/a","AmaranthusviridisL.","Amaranthaceae","annual","BidenspilosaL.","compositae","annual","invasive",NA,NA,"MAOC","F2","MAOC","mg C g soil-2","n/a",6.86046511627906,0.2616,5,5.93023255813953,0.1744,5,"-0.145683229","n/a",NA,NA,NA,"annual","concentration",FALSE,-0.145770725767652,0.000463776119938208,354
"R9","Crop-weed competition changes the decomposition of soil organic matter fractions in the rhizosphere","-5.9945700000000004","-37.942100000000003","greenhouse","n/a","I.grandifolia","BignoniaceaeJuss.","annual","BidenspilosaL.","compositae","annual","invasive",NA,NA,"MAOC","F2","MAOC","mg C g soil-3","n/a",6.71511627906976,0.1163,5,5.93023255813953,0.1744,5,"-0.12506394200000001","n/a",NA,NA,NA,"annual","concentration",FALSE,-0.124241225181663,0.000232963955591636,355
"R17","Frequent Fire Reduces the Magnitude of Positive Interactions Between an Invasive Grass and Soil Microbes in Temperate Forests","37.32","88.45","field","forest","Ulmusspecies,Acerspecies,Fraxinusspecies,Juglansnigra,Quercusspecies,Caryaspecies,andPlatanusocci-dentalis","hardwood","n/a","Microstegium","Poaceae","n/a","invasive",NA,12800,"MAOC","T2","MAOC","g C m-2","0-5",995,88,40,1134,60,40,"0.13076374700000001","0-5",5,2.5,"forest",NA,"concentration",FALSE,0.130700965241637,0.000265537459882266,356
"R17","Frequent Fire Reduces the Magnitude of Positive Interactions Between an Invasive Grass and Soil Microbes in Temperate Forests","37.32","88.45","field","forest","Ulmusspecies,Acerspecies,Fraxinusspecies,Juglansnigra,Quercusspecies,Caryaspecies,andPlatanusocci-dentalis","hardwood","n/a","Microstegium","Poaceae","n/a","invasive",NA,12800,"MAOC","T2","MAOC","g C m-2","5-10",763,68,40,750,40,40,"-1.7184825000000001E-2","5-10",10,7.5,"forest",NA,"concentration",FALSE,-0.0172485530834653,0.00026967888095114,357
"R17","Frequent Fire Reduces the Magnitude of Positive Interactions Between an Invasive Grass and Soil Microbes in Temperate Forests","37.32","88.45","field","forest","Ulmusspecies,Acerspecies,Fraxinusspecies,Juglansnigra,Quercusspecies,Caryaspecies,andPlatanusocci-dentalis","hardwood","n/a","Microstegium","Poaceae","n/a","invasive",NA,12800,"MAOC","T2","MAOC","g C m-2","10-15",517,46,40,522,28,40,"9.624713E-3","10-15",15,12.5,"forest",NA,"concentration",FALSE,0.00956172222856494,0.000269843949221708,358
"R18","Grass Invasions Across a Regional Gradient are Associated with Declines in Belowground Carbon Pools","33.53-35.03","83.21-83.29","field","forest","n/a","n/a","n/a","M.vimineum","herbaceous","annual","invasive",17,12200,"MAOC","F1","MINC","g cm-2","n/a",552,80,36,1168,448,36,"0.74950011699999997","n/a",NA,NA,"forest","annual","concentration",FALSE,0.751251721886961,0.00467009792722568,359
"R24","Loss of faster-cycling soil carbon pools following grass invasion across multiple forest sites","33.20-33.89","83.37-83.60","field","forest","Quercussp.","Fagaceae","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"MAOC","F1","MAOC","g C m-2","0-10",182.407407407407,22.2222,8,191.666666666666,14.8148,8,"4.9518243000000003E-2","0-10",10,5,"forest","annual","concentration",FALSE,0.0489608500339705,0.00260204312017136,360
"R24","Loss of faster-cycling soil carbon pools following grass invasion across multiple forest sites","33.20-33.89","83.37-83.60","field","forest","CaryacathayensisSarg.","JuglandaceaeDC.exPerleb","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"MAOC","F1","MAOC","g C m-2","0-10",184.259259259259,16.6667,8,184.259259259259,8.3333,8,"0","0-10",10,5,"forest","annual","concentration",FALSE,-0.000383516110704276,0.00127837885407753,361
"R50","Grass invasion of a hardwood forest is associated with declines in belowground carbon pools","33.5327","83.2193","field","forest","Acerrubrum,Quercusnigra,Platanusoccidentalis,andLiquidambarstyraciflua","n/a","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"MAOC","T2","MAOC","mg g-1 dry wt soil-1","0-10",13.75,5.90327028010746,6,11.25,5.97675497239095,6,"-0.20067069500000001","0-10",10,5,"forest","annual","concentration",FALSE,-0.192510564863233,0.0777613190490766,362
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","0-5",0.962461132245904,0.13732,6,2.19745222929936,0.222929936,6,"0.82927935500000005","0-5",5,2.5,"wetland_coastal","perennial","concentration",FALSE,0.824721502855046,0.00510806090595281,363
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","5-20",1.15270901731895,0.092487,6,2.21337579617834,0.23089172,6,"0.65323057299999998","5-20",20,12.5,"wetland_coastal","perennial","concentration",FALSE,0.652774384562608,0.00288658542278668,364
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","20-40",1.7534003856376,0.099285,6,2.25318471337579,0.191082803,6,"0.25131442799999998","20-40",40,30,"wetland_coastal","perennial","concentration",FALSE,0.251119804505678,0.00173305096661722,365
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","40-60",1.23423141730505,0.119852,6,1.82324840764331,0.127388535,6,"0.391822332","40-60",60,50,"wetland_coastal","perennial","concentration",FALSE,0.389792306285494,0.00238522761800681,366
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","60-80",1.1645560824778,0.004581,6,1.61624203821656,0.119426752,6,"0.334006144","60-80",80,70,"wetland_coastal","perennial","concentration",FALSE,0.328217463895756,0.000912574378792707,367
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","80-100",1.2131950596696,0.149823,6,1.25,0.103503185,6,"3.2523191999999999E-2","80-100",100,90,"wetland_coastal","perennial","concentration",FALSE,0.0291865727708943,0.00368452838713543,368
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","RC","mg/g","0-5",2.18488022651866,0.13238,6,2.39361702127659,0.25075,6,"9.1968489E-2","0-5",5,2.5,"wetland_coastal","perennial","concentration",FALSE,0.0918532048688804,0.00244087251973551,369
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","RC","mg/g","5-20",2.21739885698403,0.120832,6,3.53343465045592,0.31155,6,"0.46379067499999999","5-20",20,12.5,"wetland_coastal","perennial","concentration",FALSE,0.466335967959452,0.00179062557427935,370
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","RC","mg/g","20-40",2.24237844598467,0.149923,6,3.70060790273556,0.30395,6,"0.50185695399999997","20-40",40,30,"wetland_coastal","perennial","concentration",FALSE,0.501149667766053,0.00186938310657859,371
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","RC","mg/g","40-60",1.82571612208383,0.148201,6,3.35866261398176,0.28875,6,"0.60762500699999999","40-60",60,50,"wetland_coastal","perennial","concentration",FALSE,0.609637381611611,0.00233006387230469,372
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","RC","mg/g","60-80",1.63774384630083,0.130021,6,3.01671732522796,0.28115,6,"0.61056058999999996","60-80",80,70,"wetland_coastal","perennial","concentration",FALSE,0.611048247265743,0.00249809407417558,373
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","RC","mg/g","80-100",1.26840029878228,0.150939,6,2.46960486322188,0.27355,6,"0.66520124999999997","80-100",100,90,"wetland_coastal","perennial","concentration",FALSE,0.666144029430335,0.00440502404650096,374
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"ROC","F3","EOC","g/kg","0-10",5.53005464480874,0.3497,3,7.30054644808743,0.0874,3,"0.27768653300000001","0-10",10,5,NA,"perennial","concentration",FALSE,0.277108920344171,0.00138071564908539,375
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"ROC","F3","EOC","g/kg","10-20",4.32786885245901,0.5027,3,5.07103825136612,0.0656,3,"0.15777327599999999","10-20",20,15,NA,"perennial","concentration",FALSE,0.156249600140917,0.0045530452942994,376
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"ROC","F3","EOC","g/kg","20-30",4.98360655737704,0.6339,3,4.39344262295082,0.8306,3,"-0.126100664","20-30",30,25,NA,"perennial","concentration",FALSE,-0.122780302786321,0.0173068941186646,377
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"ROC","F3","EOC","g/kg","30-40",5.09289617486338,0.2842,3,5.00546448087431,0.0874,3,"-1.5841915000000002E-2","30-40",40,35,NA,"perennial","concentration",FALSE,-0.0177846359471743,0.00113962762045914,378
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"ROC","F3","EOC","g/kg","40-50",4.43715846994535,0.5246,3,4.61202185792349,0.1749,3,"3.7573480999999999E-2","40-50",50,45,NA,"perennial","concentration",FALSE,0.0365621665256956,0.00513872641135198,379
"R21","Invasion effects of Chromolaena odorata on soil carbon and nitrogen fractions in a tropical savanna","108.470–108.490","19.050–19.170","field","grassland","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens","Grass","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"ROC","F3","EOC","mg/g","0-10",6.03314917127071,0.7293,3,5.92265193370165,0.7293,3,"-1.8410561999999998E-2","0-10",10,5,"grassland","perennial","concentration",FALSE,-0.0183930932622515,0.00992510446485976,380
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","grassland","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens","Grass","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"ROC","F3","EOC","mg/g","10-20",8.13259668508287,0.8177,3,5.92265193370165,0.7293,3,"-0.31722447500000001","10-20",20,15,"grassland","perennial","concentration",FALSE,-0.316253736915378,0.00842410580316923,381
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","forest","Crotonlaui,Microcospaniculata,Dimocarpuslongga","Forest","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"ROC","F3","EOC","mg/g","0-10",2.38674033149171,0.221,3,3.04972375690607,0.3315,3,"0.243848225","0-10",10,5,"forest","perennial","concentration",FALSE,0.245662711144375,0.00679638414130767,382
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","forest","Crotonlaui,Microcospaniculata,Dimocarpuslongga","Forest","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"ROC","F3","EOC","mg/g","10-20",3.27071823204419,0.4862,3,3.04972375690607,0.3315,3,"-6.9648394000000002E-2","10-20",20,15,"forest","perennial","concentration",FALSE,-0.0716722869458735,0.0113042870420179,383
"R23","Invasion of Praxelis clematidea increases the chemically non-labile rather than labile soil organic carbon in a tropical savanna","19.05-19.17","108.47 - 108.49","field","n/a","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens,Borreriaarticularis,andFimbristylisfusca,aswellasseveralshrubs,suchasSidaalnifoliaandWaltheriaamerica.","n/a","n/a","Praxelisclematidea","AsteraceaeBercht.&J.Presl","annual","invasive",24.6,1019,"ROC","F2","ROC","g/kg","0-10",2.34883720930232,0.2791,3,3.76744186046511,0.3256,3,"0.472659673","0-10",10,5,NA,"annual","concentration",FALSE,0.471367469303713,0.00719618302571125,384
"R23","Invasion of Praxelis clematidea increases the chemically non-labile rather than labile soil organic carbon in a tropical savan","19.05-19.17","108.47 - 108.49","field","forest","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens,Borreriaarticularis,andFimbristylisfusca,aswellasseveralshrubs,suchasSidaalnifoliaandWaltheriaamerica.","n/a","n/a","Praxelisclematidea","AsteraceaeBercht.&J.Presl","annual","invasive",24.6,1019,"ROC","F2","ROC","g/kg","10-20",1.7906976744186,0.1628,3,1.46511627906976,0.3488,3,"-0.19695321900000001","10-20",20,15,"forest","annual","concentration",FALSE,-0.192602055132935,0.0216475522230623,385
"R28","Response of the soil microbial community composition and biomass to a short-term Spartina alterniflora invasion in a coastal wetland of eastern China","32.3651-34.2832","119.5125-121.547","field","n/a","Suaedasalsa","Amaranthaceae","annual","S.alterniflora","Poaceae","perennial","invasive",13.8,1000,"ROC","T2","RC","g/kg","0-30",3.1,0.11,9,6.95,0.72,9,"0.80733954799999996","0-30",30,15,NA,"perennial","concentration",FALSE,0.807865840232846,0.00133238542757152,386
"R28","Response of the soil microbial community composition and biomass to a short-term Spartina alterniflora invasion in a coastal wetland of eastern China","32.3651-34.2832","119.5125-121.547","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",13.8,1000,"ROC","T2","RC","g/kg","0-30",2.29,0.1,9,6.95,0.72,9,"1.15189842","0-30",30,15,NA,"perennial","concentration",FALSE,1.11068014527981,0.00140436318354898,387
"R28","Response of the soil microbial community composition and biomass to a short-term Spartina alterniflora invasion in a coastal wetland of eastern China","32.3651-34.2832","119.5125-121.547","field","n/a","Suaedasalsa","Amaranthaceae","annual","S.alterniflora","Poaceae","perennial","invasive",13.8,1000,"ROC","T2","LC","g/kg","0-30",0.53,0.15,9,1.57,0.19,9,"1.085953892","0-30",30,15,NA,"perennial","concentration",FALSE,1.0823175554055,0.0105272560189144,388
"R28","Response of the soil microbial community composition and biomass to a short-term Spartina alterniflora invasion in a coastal wetland of eastern China","32.3651-34.2832","119.5125-121.547","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",13.8,1000,"ROC","T2","LC","g/kg","0-30",0.63,0.08,9,1.57,0.19,9,"0.91311578999999998","0-30",30,15,NA,"perennial","concentration",FALSE,0.913028893182499,0.00341895478609655,389
"R40","Effect of the invasion by Soildago canadensis on soil properties in Hangzhou bay wetland and reclamation district","121.0958","30.1929","field","wetland","Phaceluruslatifolius (Steud.)Ohwi","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"ROC","F2","ROC","g/kg","0-10",2.60176991150442,0.17,5,1.5929203539823,0.17,5,"-0.49177742899999999","0-10",10,5,"wetland_coastal","perennial","concentration",FALSE,-0.489910886514826,0.00313179321913195,390
